city,state,median_sale_price
Aaronsburg,Pennsylvania,215000.0
Abbeville,Alabama,85000.0
Abbeville,Louisiana,119650.0
Abbotsford,Wisconsin,169825.0
Abbottstown,Pennsylvania,235000.0
Abercrombie,North Dakota,170000.0
Aberdeen,Idaho,259000.0
Aberdeen,Indiana,429365.0
Aberdeen,Maryland,309500.0
Aberdeen,North Carolina,394950.0
Aberdeen,Ohio,189750.0
Aberdeen,South Dakota,217500.0
Aberdeen,Washington,260000.0
Abernathy,Texas,172500.0
Abilene,Texas,235000.0
Abingdon,Illinois,90750.0
Abingdon,Maryland,338000.0
Abingdon,Virginia,262125.0
Abington,Massachusetts,497500.0
Abita Springs,Louisiana,305000.0
Abrams,Wisconsin,540000.0
Absarokee,Montana,513250.0
Absecon,New Jersey,275125.0
Absecon Highlands,New Jersey,245000.0
Acalanes Ridge,California,1895000.0
Accokeek,Maryland,505000.0
Accord,New York,1110000.0
Achille,Oklahoma,149900.0
Ackermanville,Pennsylvania,450000.0
Ackworth,Iowa,125000.0
Acres Green,Colorado,564000.0
Acton,California,843750.0
Acton,Massachusetts,636250.0
Acushnet,Massachusetts,537500.0
Acushnet Center,Massachusetts,462000.0
Acworth,Georgia,364500.0
Ada,Oklahoma,169900.0
Adair,Illinois,74900.0
Adair Village,Oregon,493125.0
Adairsville,Georgia,306652.5
Adams,Massachusetts,226475.0
Adams,Minnesota,255000.0
Adams,Nebraska,185000.0
Adams,New York,196000.0
Adams,Oregon,156000.0
Adams,Tennessee,361200.0
Adams Center,New York,210000.0
Adams Run,South Carolina,430000.0
Adamstown,Maryland,670000.0
Adamstown,Pennsylvania,342000.0
Adamsville,Alabama,148700.0
Addis,Louisiana,276945.0
Addison,Illinois,359000.0
Addison,Michigan,114500.0
Addison,New York,107500.0
Addison,Texas,558250.0
Addy,Washington,234750.0
Addyston,Ohio,105000.0
Adel,Iowa,340000.0
Adelanto,California,407500.0
Adell,Wisconsin,200000.0
Adelphi,Maryland,253750.0
Adena,Ohio,121500.0
Adrian,Georgia,65000.0
Adrian,Michigan,160000.0
Adrian,Minnesota,178250.0
Adrian,Missouri,216750.0
Advance,Indiana,280450.0
Advance,North Carolina,425000.0
Affton,Missouri,246200.0
Afton,Minnesota,650000.0
Afton,Oklahoma,900000.0
Afton,Virginia,518000.0
Agawam,Massachusetts,316250.0
Agawam Town,Massachusetts,316250.0
Agency,Iowa,150000.0
Agency,Missouri,378625.0
Agoura Hills,California,910625.0
Agua Dulce,California,975000.0
Agua Dulce,Texas,154500.0
Agua Fria,New Mexico,405000.0
Aguanga,California,740000.0
Ahmeek,Michigan,69900.0
Ahtanum,Washington,447495.0
Ahuimanu,Hawaii,822000.0
Ahwahnee,California,455000.0
Aiea,Hawaii,540250.0
Aiken,South Carolina,279945.0
Ainaloa,Hawaii,371000.0
Ainsworth,Iowa,113250.0
Airmont,New York,827500.0
Airport,California,185000.0
Airport Drive,Missouri,226037.5
Airway Heights,Washington,382495.0
Ajo,Arizona,135000.0
Akins,Oklahoma,929000.0
Akron,New York,430000.0
Akron,Ohio,140000.0
Akron,Pennsylvania,303600.0
Alabama,New York,305000.0
Alabaster,Alabama,305000.0
Alachua,Florida,330795.0
Alafaya,Florida,440750.0
Alamance,North Carolina,388500.0
Alameda,California,1125000.0
Alamo,California,2650000.0
Alamo,Tennessee,167000.0
Alamo,Texas,212000.0
Alamo Heights,Texas,730000.0
Alamogordo,New Mexico,229000.0
Alba,Missouri,119950.0
Albany,California,1054500.0
Albany,Georgia,115000.0
Albany,Illinois,136900.0
Albany,Indiana,129950.0
Albany,Minnesota,289000.0
Albany,New York,252500.0
Albany,Ohio,191250.0
Albany,Oregon,423075.0
Albany,Wisconsin,342975.0
